Timestamp,Lat,Lon,Altitude,Heading,Velocity
2023-01-14 03:45:50.661602562,-31.981522,115.952838,1425,194.479815,189.19038
2023-01-14 03:45:51.662574816,-31.981522,115.952838,1450,194.479815,189.19038
2023-01-14 03:45:51.762686211,-31.981522,115.952838,1450,194.403991,190.157829
2023-01-14 03:45:53.164643671,-31.983261,115.952344,1450,194.545203,192.346042
2023-01-14 03:45:53.463645611,-31.983261,115.952344,1475,194.545203,192.346042
2023-01-14 03:45:53.765658425,-31.983261,115.952344,1475,194.470294,193.313217
2023-01-14 03:45:54.365732398,-31.983261,115.952344,1500,194.470294,193.313217
2023-01-14 03:45:54.865971518,-31.984879,115.951837,1500,194.68322,194.535344
2023-01-14 03:45:55.867670795,-31.98567,115.951613,1525,194.534455,196.468827
2023-01-14 03:45:57.169960137,-31.986237,115.951465,1550,194.388612,198.403629
2023-01-14 03:45:57.769065904,-31.986237,115.951465,1550,194.524152,200.591625
2023-01-14 03:45:58.872423284,-31.986237,115.951465,1550,194.381395,202.526541
2023-01-14 03:45:59.471819020,-31.986237,115.951465,1575,194.381395,202.526541
2023-01-14 03:45:59.972030814,-31.989581,115.950492,1575,194.241359,204.462711
2023-01-14 03:46:00.374231543,-31.989581,115.950492,1600,193.899987,205.185282
2023-01-14 03:46:01.776839432,-31.990977,115.950099,1625,193.495733,206.886442
2023-01-14 03:46:02.976633787,-31.990977,115.950099,1625,193.098151,208.597699
2023-01-14 03:46:03.284630466,-31.992783,115.949597,1650,193.098151,208.597699
2023-01-14 03:46:03.584546262,-31.992783,115.949597,1650,192.498919,209.121974
2023-01-14 03:46:04.386329139,-31.992783,115.949597,1675,192.498919,209.121974
2023-01-14 03:46:05.086878060,-31.992783,115.949597,1675,191.578421,210.440015
2023-01-14 03:46:05.691133527,-31.995071,115.949103,1700,190.134251,211.442664
2023-01-14 03:46:06.491020231,-31.995071,115.949103,1725,188.972627,212.734576
2023-01-14 03:46:07.591667744,-31.996445,115.948883,1750,187.594643,212.983567
2023-01-14 03:46:08.593383811,-31.998053,115.948698,1775,185.952459,213.243992
2023-01-14 03:46:09.595656879,-31.998053,115.948698,1800,185.952459,213.243992
2023-01-14 03:46:09.694502817,-31.998053,115.948698,1800,184.047202,213.600094
2023-01-14 03:46:10.695806834,-31.999557,115.948608,1825,184.047202,213.600094
2023-01-14 03:46:11.096892163,-32.000567,115.948642,1850,181.606003,215.113923
2023-01-14 03:46:11.596966521,-32.000567,115.948642,1850,179.73351,216.009259
2023-01-14 03:46:11.996559764,-32.001451,115.948698,1875,179.73351,216.009259
2023-01-14 03:46:12.598275470,-32.001451,115.948698,1900,179.73351,216.009259
2023-01-14 03:46:13.099089410,-32.001451,115.948698,1900,177.878904,217.186556
2023-01-14 03:46:13.500536885,-32.001451,115.948698,1900,176.274372,216.520207
2023-01-14 03:46:14.100629408,-32.003082,115.948773,1950,176.274372,216.520207
2023-01-14 03:46:14.601276247,-32.003082,115.948773,1950,174.709919,218.013761
2023-01-14 03:46:15.101630395,-32.00457,115.949034,1975,174.709919,218.013761
2023-01-14 03:46:15.603209898,-32.00457,115.949034,2000,174.709919,218.013761
2023-01-14 03:46:16.206344728,-32.00457,115.949034,2000,173.136308,218.673272
2023-01-14 03:46:16.608426097,-32.006107,115.949259,2000,171.573031,219.494875
2023-01-14 03:46:17.006780202,-32.006107,115.949259,2025,171.573031,219.494875
2023-01-14 03:46:17.607228612,-32.007111,115.949487,2050,169.765197,220.655841
2023-01-14 03:46:18.609542797,-32.007111,115.949487,2050,168.231711,221.822001
2023-01-14 03:46:19.917318501,-32.008209,115.949762,2075,166.774198,224.116041
2023-01-14 03:46:20.920670613,-32.009857,115.950311,2100,165.03572,225.842866
2023-01-14 03:46:21.927634420,-32.009857,115.950311,2125,163.495639,226.525937
2023-01-14 03:46:22.833276872,-32.012375,115.951245,2150,163.495639,226.525937
2023-01-14 03:46:22.935834846,-32.012375,115.951245,2150,162.043835,228.319951
2023-01-14 03:46:23.437458351,-32.012903,115.951445,2150,160.851863,229.9239
2023-01-14 03:46:24.539812734,-32.013474,115.95174,2175,160.851863,229.9239
2023-01-14 03:46:24.942887628,-32.013474,115.95174,2175,159.443955,231.976292
2023-01-14 03:46:25.743912825,-32.013474,115.95174,2200,157.969225,233.238076
2023-01-14 03:46:27.145768932,-32.016083,115.952948,2200,156.511225,234.650804
2023-01-14 03:46:28.145634115,-32.016083,115.952948,2225,155.29313,235.790161
2023-01-14 03:46:28.546730812,-32.016083,115.952948,2250,155.29313,235.790161
2023-01-14 03:46:28.647215607,-32.016083,115.952948,2250,153.868999,237.474209
2023-01-14 03:46:29.448114652,-32.016083,115.952948,2250,152.354025,238.415604
2023-01-14 03:46:29.648150095,-32.016083,115.952948,2275,152.354025,238.415604
2023-01-14 03:46:30.249558805,-32.016083,115.952948,2250,152.354025,238.415604
2023-01-14 03:46:30.548179000,-32.016083,115.952948,2250,150.851928,239.520354
2023-01-14 03:46:30.948986572,-32.016083,115.952948,2300,150.851928,239.520354
2023-01-14 03:46:31.851403721,-32.021347,115.956299,2325,150.851928,239.520354
2023-01-14 03:46:32.655391726,-32.021347,115.956299,2325,147.893744,242.210652
2023-01-14 03:46:33.055865241,-32.021347,115.956299,2350,147.893744,242.210652
2023-01-14 03:46:33.656563370,-32.021347,115.956299,2350,146.309932,242.958844
2023-01-14 03:46:34.558084910,-32.021347,115.956299,2375,144.544526,244.468812
2023-01-14 03:46:34.858445180,-32.021347,115.956299,2400,144.544526,244.468812
2023-01-14 03:46:35.458796007,-32.024541,115.9589,2425,142.989327,245.601303
2023-01-14 03:46:36.259094144,-32.025519,115.959797,2450,142.989327,245.601303
2023-01-14 03:46:36.460360765,-32.025519,115.959797,2450,141.303628,246.130047
2023-01-14 03:46:36.960950848,-32.025519,115.959797,2475,141.303628,246.130047
2023-01-14 03:46:37.362455488,-32.026382,115.960638,2500,141.303628,246.130047
2023-01-14 03:46:37.862700061,-32.026382,115.960638,2525,141.303628,246.130047
2023-01-14 03:46:37.963464234,-32.026382,115.960638,2525,139.626571,246.868386
2023-01-14 03:46:38.363967170,-32.027115,115.961462,2550,139.626571,246.868386
2023-01-14 03:46:38.563764338,-32.027115,115.961462,2550,137.978021,246.40211
2023-01-14 03:46:39.364034197,-32.027567,115.96187,2600,136.324522,246.138173
2023-01-14 03:46:39.964862235,-32.027567,115.96187,2625,136.324522,246.138173
2023-01-14 03:46:40.766686781,-32.027567,115.96187,2625,134.668814,246.077224
2023-01-14 03:46:41.167337636,-32.027567,115.96187,2700,134.668814,246.077224
2023-01-14 03:46:42.066907615,-32.029587,115.964374,2750,134.668814,246.077224
2023-01-14 03:46:42.667861745,-32.03036,115.965402,2775,131.516729,245.814971
2023-01-14 03:46:43.267244638,-32.030777,115.966022,2800,131.516729,245.814971
2023-01-14 03:46:43.669567081,-32.030777,115.966022,2850,130.015885,245.576872
2023-01-14 03:46:44.076380344,-32.030777,115.966022,2875,130.015885,245.576872
